ID,category,Case_w,Case_wo,NoCNV_Control_w,NoCNV_Control_wo,LargeRare_Control_w,LargeRare_Control_wo,NEJM_Control_w,NEJM_Control_wo
46820,node,0,217,0,87795,1,4105,0,2210
46830,node,0,217,1,87794,0,4106,0,2210
46840,node,0,217,2,87793,0,4106,1,2209
46850,node,0,217,17,87778,1,4105,0,2210
46870,node,0,217,1,87794,0,4106,0,2210
46910,node,0,217,1,87794,0,4106,0,2210
46920,node,0,217,2,87793,0,4106,0,2210
46950,node,2,215,214,87581,11,4095,8,2202
46970,node,0,217,14,87781,1,4105,0,2210
46990,node,0,217,6,87789,0,4106,0,2210
47000,node,0,217,10,87785,1,4105,0,2210
47010,node,0,217,1,87794,0,4106,0,2210
47020,node,0,217,1,87794,0,4106,0,2210
47030,node,0,217,2,87793,0,4106,0,2210
47040,node,0,217,1,87794,0,4106,0,2210
47050,node,0,217,2,87793,1,4105,0,2210
47060,node,0,217,60,87735,2,4104,0,2210
47070,node,1,216,176,87619,12,4094,2,2208
47080,node,0,217,14,87781,1,4105,0,2210
47100,node,0,217,4,87791,1,4105,0,2210
47110,node,2,215,298,87497,20,4086,6,2204
47120,node,0,217,14,87781,3,4103,0,2210
47130,node,1,216,111,87684,6,4100,3,2207
47150,node,0,217,6,87789,0,4106,0,2210
47160,node,0,217,12,87783,3,4103,2,2208
47170,node,0,217,14,87781,0,4106,0,2210
47180,node,0,217,2,87793,0,4106,0,2210
47200,node,0,217,13,87782,1,4105,0,2210
47210,node,0,217,98,87697,6,4100,2,2208
47220,node,11,206,1858,85937,110,3996,56,2154
47230,node,0,217,73,87722,4,4102,0,2210
47250,node,0,217,135,87660,6,4100,2,2208
47260,node,0,217,170,87625,10,4096,6,2204
47280,node,0,217,9,87786,1,4105,0,2210
47290,node,0,217,56,87739,2,4104,1,2209
47300,node,0,217,29,87766,0,4106,1,2209
47310,node,1,216,200,87595,13,4093,6,2204
47330,node,0,217,1,87794,0,4106,0,2210
47340,node,0,217,12,87783,0,4106,0,2210
47350,node,0,217,37,87758,1,4105,0,2210
47360,node,0,217,63,87732,5,4101,1,2209
47370,node,0,217,1,87794,0,4106,0,2210
47390,node,0,217,25,87770,2,4104,2,2208
47410,node,0,217,3,87792,0,4106,0,2210
47420,node,0,217,1,87794,0,4106,0,2210
47440,node,0,217,2,87793,1,4105,0,2210
47450,node,1,216,88,87707,4,4102,0,2210
47460,node,0,217,8,87787,0,4106,0,2210
47480,node,0,217,103,87692,6,4100,2,2208
47490,node,0,217,8,87787,0,4106,0,2210
47500,node,0,217,11,87784,0,4106,1,2209
47510,node,0,217,2,87793,0,4106,0,2210
47520,node,0,217,56,87739,5,4101,3,2207
47530,node,0,217,1,87794,0,4106,0,2210
47540,node,0,217,12,87783,0,4106,3,2207
47550,node,0,217,0,87795,0,4106,1,2209
47560,node,2,215,526,87269,39,4067,26,2184
47570,node,0,217,64,87731,4,4102,3,2207
47580,node,1,216,65,87730,1,4105,3,2207
47590,node,0,217,12,87783,0,4106,0,2210
47610,node,2,215,93,87702,3,4103,3,2207
47620,node,5,212,760,87035,43,4063,17,2193
47630,node,0,217,6,87789,0,4106,0,2210
47650,node,1,216,329,87466,12,4094,14,2196
47660,node,0,217,17,87778,0,4106,0,2210
47670,node,1,216,21,87774,1,4105,0,2210
47680,node,0,217,49,87746,2,4104,1,2209
47690,node,0,217,31,87764,2,4104,1,2209
47710,node,0,217,11,87784,0,4106,1,2209
47720,node,0,217,19,87776,1,4105,1,2209
47730,node,0,217,37,87758,2,4104,2,2208
47750,node,0,217,8,87787,2,4104,1,2209
47760,node,0,217,2,87793,0,4106,0,2210
47770,node,0,217,1,87794,0,4106,0,2210
