"type","id","control","case_n","control_n","cc_est","cc_err","cc_p","sex_est","sex_err","sex_p"
"Sub-block","X65340","LargeRare_Control",217,4106,-17.1916939848084,8042.9493714581,0.998294533991713,18.09330493718,2655.83164683689,0.994564317730764
"Sub-block","X140850","LargeRare_Control",217,4106,-16.0378815632641,8170.86702125722,0.998433903056138,-16.7638157534441,2962.23390284423,0.995484651511766
"Sub-block","X33100","LargeRare_Control",217,4106,-16.4797521462003,4877.87293381481,0.997304375294733,17.3815251137984,1610.83434350772,0.991390684294026
"Sub-block","X190220","LargeRare_Control",217,4106,0.299899667987735,0.163520031437888,0.0666504263407993,0.408799783633245,0.0771032336512618,1.14553549453805e-07
"Sub-block","X126380","LargeRare_Control",217,4106,-14.6364639251417,1982.97334584589,0.994110812141044,0.224240644128578,1.00049356835771,0.822656133533652
"Sub-block","X124100","LargeRare_Control",217,4106,-13.9428274806757,1982.98004666725,0.994389920798797,0.224130447605733,1.41456236923875,0.874106093772717
"Sub-block","X109440","LargeRare_Control",217,4106,-16.7313268751594,8170.29354258827,0.998366073630603,-17.4573888822165,2962.21522734573,0.995297809455747
"Sub-block","X126420","LargeRare_Control",217,4106,-16.7313268751593,8170.29354258797,0.998366073630603,-17.4573888822165,2962.2152273458,0.995297809455747
"Sub-block","X187620","LargeRare_Control",217,4106,-0.162975965930564,0.25841416130086,0.528251492836983,-0.0806395519443158,0.107158818326539,0.451736174498578
"Sub-block","X123930","LargeRare_Control",217,4106,-17.0923660546473,13263.115078439,0.99897175504193,17.9936195646334,4378.78002097461,0.996721280637614
"Sub-block","X190100","LargeRare_Control",217,4106,-0.0534464837271716,0.252318858267507,0.832246527388504,0.0946161636737826,0.108359576558136,0.38257126794465
"Sub-block","X111190","LargeRare_Control",217,4106,-16.4250631552665,4954.81880904815,0.997355043483019,-17.1513888860411,1796.65213670321,0.992383266489026
"Sub-block","X137450","LargeRare_Control",217,4106,-17.0923660546049,13263.1150785672,0.998971755041943,17.9936195646356,4378.78002097574,0.996721280637614
"Sub-block","X125830","LargeRare_Control",217,4106,-14.6149765343473,1940.78635624307,0.993991634429532,1.32384043122489,1.15512804554932,0.25177233858141
"Sub-block","X117680","LargeRare_Control",217,4106,-16.037881563264,8170.867021257,0.998433903056138,-16.7638157534438,2962.233902844,0.995484651511766
"Sub-block","X38670","LargeRare_Control",217,4106,-16.037881563264,8170.86702125693,0.998433903056138,-16.763815753444,2962.2339028441,0.995484651511766
"Sub-block","X35390","LargeRare_Control",217,4106,-14.3295188273336,1978.33851583162,0.994220806109558,-0.469455233290121,1.22514775086563,0.701584419167632
"Sub-block","X47060","LargeRare_Control",217,4106,-13.9428274806759,1982.980046661,0.99438992079878,0.224130447605724,1.41456236923871,0.874106093772718
"Sub-block","X119820","LargeRare_Control",217,4106,-17.0923660547499,13263.1150790927,0.998971755041975,17.9936195646353,4378.78002097554,0.996721280637614
"Sub-block","X47070","LargeRare_Control",217,4106,0.442771031763281,1.04349881582948,0.671336917646745,0.689604095226563,0.570955318558304,0.227121329884425
"Sub-block","X187030","LargeRare_Control",217,4106,0.812181022785079,0.615668959058287,0.187107398228418,0.808257336092734,0.395699031269475,0.0410914264812678
"Sub-block","X26140","LargeRare_Control",217,4106,-17.0923660547527,13263.1150788026,0.998971755041952,17.9936195646345,4378.78002097379,0.996721280637613
"Sub-block","X186510","LargeRare_Control",217,4106,0.786699118153075,1.0584170300332,0.457312802055388,-17.0904019845003,1095.80244594388,0.987556502419445
"Sub-block","X189110","LargeRare_Control",217,4106,-0.000236881566869073,1.02841280441726,0.999816217629282,-0.186607278811032,0.457483171783001,0.68334726441616
"Sub-block","X121070","LargeRare_Control",217,4106,-16.0378815632639,8170.86702125686,0.998433903056138,-16.763815753444,2962.2339028442,0.995484651511766
"Sub-block","X36090","LargeRare_Control",217,4106,-13.9428274806776,1982.98004666674,0.994389920798795,0.224130447605758,1.41456236923872,0.8741060937727
"Sub-block","X116230","LargeRare_Control",217,4106,-16.1370748567212,4955.14747936448,0.997401590935585,-16.8632801031756,1796.66309688831,0.992511254161885
"Sub-block","X143410","LargeRare_Control",217,4106,-14.5530352215081,1196.76443902977,0.990297709751062,0.631025977377865,0.646262852530967,0.32885483919913
"Sub-block","X70930","LargeRare_Control",217,4106,-14.5964925647994,1964.73061468221,0.99407236348895,-0.875359034101088,1.15512794898504,0.448569128835798
"Sub-block","X46320","LargeRare_Control",217,4106,20.9590930819829,5053.00335249517,0.996690505099632,18.4920045880436,5835.94980323326,0.997471797947756
"Sub-block","X123240","LargeRare_Control",217,4106,-15.1676694871285,1168.71928774761,0.989645323971644,1.55227949859415,0.563611948242644,0.00588423507876118
"Sub-block","X34840","LargeRare_Control",217,4106,-13.9428274806784,1982.98004666358,0.994389920798786,0.224130447605739,1.41456236923874,0.874106093772712
"Sub-block","X111280","LargeRare_Control",217,4106,21.0865777608584,5163.40331532031,0.996741566164464,-18.426867667208,6492.08908859169,0.997735321670147
"Sub-block","X33770","LargeRare_Control",217,4106,-16.7313268751594,8170.29354258877,0.998366073630603,-17.4573888822166,2962.21522734576,0.995297809455747
"Sub-block","X55020","LargeRare_Control",217,4106,20.959093083545,5053.00335292032,0.996690505099663,18.492004589694,5835.94980374074,0.99747179794775
"Sub-block","X119240","LargeRare_Control",217,4106,-17.0923660546212,13263.1150786307,0.998971755041947,17.9936195646342,4378.78002097343,0.996721280637613
"Sub-block","X136290","LargeRare_Control",217,4106,-17.092366054763,13263.1150789962,0.998971755041966,17.9936195646352,4378.78002097467,0.996721280637613
"Sub-block","X125050","LargeRare_Control",217,4106,-16.037881563264,8170.86702125719,0.998433903056138,-16.763815753444,2962.2339028441,0.995484651511766
"Sub-block","X105360","LargeRare_Control",217,4106,1.37624402526639,1.09960663855328,0.210723493575547,-17.5706770805917,1794.36110718766,0.992187108900289
"Sub-block","X125120","LargeRare_Control",217,4106,0.972523583723369,1.07213961144375,0.364360949928036,1.31465611009234,0.817001266773726,0.107589293574461
"Sub-block","X125220","LargeRare_Control",217,4106,-16.785873357964,8043.72749218099,0.998334953604029,17.6873040902555,2655.84928547689,0.994686324026792
"Sub-block","X119750","LargeRare_Control",217,4106,-16.0378815632639,8170.86702125695,0.998433903056138,-16.7638157534437,2962.23390284387,0.995484651511766
"Sub-block","X32340","LargeRare_Control",217,4106,-17.0923660546587,13263.1150788207,0.998971755041959,17.9936195646339,4378.78002097357,0.996721280637613
"Sub-block","X44730","LargeRare_Control",217,4106,-16.7313268751595,8170.29354258845,0.998366073630603,-17.4573888822165,2962.21522734566,0.995297809455747
"Sub-block","X35860","LargeRare_Control",217,4106,-17.0923660547644,13263.1150790246,0.998971755041969,17.9936195646338,4378.78002097375,0.996721280637613
"Sub-block","X117150","LargeRare_Control",217,4106,-14.3412159099882,1961.65939708059,0.994166911520852,0.91782632502443,1.22514779737635,0.453763430695923
"Sub-block","X110890","LargeRare_Control",217,4106,-16.1370748567212,4955.14747936453,0.997401590935585,-16.8632801031746,1796.66309688864,0.992511254161887
"Sub-block","X107700","LargeRare_Control",217,4106,-16.0378815632639,8170.8670212567,0.998433903056138,-16.7638157534442,2962.23390284437,0.995484651511766
"Sub-block","X118420","LargeRare_Control",217,4106,-13.9428274806715,1982.98004666411,0.99438992079879,0.224130447605744,1.41456236923874,0.87410609377271
"Sub-block","X21620","LargeRare_Control",217,4106,21.0865777608585,5163.40331532035,0.996741566164464,-18.4268676672047,6492.08908858806,0.997735321670146
"Sub-block","X118320","LargeRare_Control",217,4106,-16.7313268751595,8170.29354258879,0.998366073630603,-17.4573888822166,2962.21522734589,0.995297809455747
"Sub-block","X107410","LargeRare_Control",217,4106,-16.7313268751592,8170.29354258775,0.998366073630603,-17.4573888822167,2962.21522734593,0.995297809455747
"Sub-block","X125940","LargeRare_Control",217,4106,-14.3412159099998,1961.65939708515,0.994166911520861,0.917826325024423,1.22514779737636,0.453763430695933
"Sub-block","X142220","LargeRare_Control",217,4106,-16.0378815632639,8170.86702125702,0.998433903056138,-16.7638157534438,2962.23390284396,0.995484651511766
"Sub-block","X127990","LargeRare_Control",217,4106,-13.9428274806752,1982.98004666156,0.994389920798781,0.224130447605719,1.41456236923871,0.874106093772721
"Sub-block","X118820","LargeRare_Control",217,4106,-14.6364639251167,1982.97334583474,0.994110812141021,0.224240644128588,1.00049356835769,0.822656133533641
"Sub-block","X45460","LargeRare_Control",217,4106,1.34432189045235,1.09790152729276,0.220783765414491,-0.484386447980845,0.866769336282857,0.576270076581021
"Sub-block","X46980","LargeRare_Control",217,4106,-16.7313268751595,8170.29354258887,0.998366073630603,-17.4573888822161,2962.21522734669,0.995297809455748
"Sub-block","X119560","LargeRare_Control",217,4106,-14.5964925647895,1964.73061468014,0.994072363488948,-0.875359034101096,1.15512794898503,0.448569128835791
"Sub-block","X142770","LargeRare_Control",217,4106,-16.8859371438394,4876.94715443233,0.997237410782689,17.7880674712689,1610.8163924023,0.991189228011481
"Sub-block","X187140","LargeRare_Control",217,4106,-16.0378815632641,8170.86702125751,0.998433903056138,-16.7638157534439,2962.23390284414,0.995484651511766
"Sub-block","X125190","LargeRare_Control",217,4106,2.29385141302529,1.22846818391553,0.0618673435925106,-16.8445142852974,1751.93938194713,0.992328632514598
"Sub-block","X191230","LargeRare_Control",217,4106,0.342571518612715,0.237584211958987,0.149331959772967,-0.127433731545215,0.119179724397718,0.284953967752133
"Sub-block","X13890","LargeRare_Control",217,4106,-17.0923660546788,13263.1150787426,0.998971755041952,17.9936195646344,4378.78002097365,0.996721280637613
"Sub-block","X131960","LargeRare_Control",217,4106,-17.1916939848063,8042.9493715387,0.99829453399173,18.0933049371799,2655.83164683758,0.994564317730766
"Sub-block","X45430","LargeRare_Control",217,4106,-17.0923660547261,13263.115078998,0.998971755041969,17.993619564634,4378.78002097515,0.996721280637614
"Sub-block","X116310","LargeRare_Control",217,4106,-16.0378815632639,8170.86702125684,0.998433903056138,-16.7638157534442,2962.23390284429,0.995484651511766
"Sub-block","X132500","LargeRare_Control",217,4106,-17.0923660546388,13263.1150785711,0.998971755041941,17.9936195646336,4378.78002097459,0.996721280637614
"Sub-block","X115760","LargeRare_Control",217,4106,-17.0923660546703,13263.1150784189,0.998971755041927,17.9936195646351,4378.7800209746,0.996721280637613
"Sub-block","X71040","LargeRare_Control",217,4106,-14.3295188273361,1978.33851583259,0.99422080610956,-0.46945523329012,1.2251477508656,0.701584419167626
"Sub-block","X120850","LargeRare_Control",217,4106,-16.7313268751593,8170.29354258796,0.998366073630603,-17.4573888822173,2962.21522734657,0.995297809455748
"Sub-block","X111320","LargeRare_Control",217,4106,-16.7313268751594,8170.29354258835,0.998366073630603,-17.4573888822166,2962.21522734577,0.995297809455747
"Sub-block","X119080","LargeRare_Control",217,4106,-16.7313268751594,8170.29354258837,0.998366073630603,-17.4573888822161,2962.2152273467,0.995297809455748
"Sub-block","X110880","LargeRare_Control",217,4106,-16.0378815632641,8170.86702125734,0.998433903056138,-16.7638157534439,2962.23390284409,0.995484651511766
"Sub-block","X121770","LargeRare_Control",217,4106,-14.341215909994,1961.65939708381,0.994166911520859,0.917826325024421,1.22514779737637,0.453763430695936
"Sub-block","X21870","LargeRare_Control",217,4106,-16.7313268751593,8170.29354258789,0.998366073630603,-17.4573888822167,2962.21522734593,0.995297809455747
"Sub-block","X141140","LargeRare_Control",217,4106,-16.7858733581056,8043.72749235449,0.998334953604051,17.6873040902554,2655.84928547698,0.994686324026792
"Sub-block","X128470","LargeRare_Control",217,4106,20.9590930829757,5053.00335270972,0.996690505099615,18.4920045890356,5835.94980267552,0.997471797947379
"Sub-block","X47230","LargeRare_Control",217,4106,-14.6364639251302,1982.97334583546,0.994110812141017,0.224240644128576,1.0004935683577,0.822656133533653
"Sub-block","X185440","LargeRare_Control",217,4106,-17.0923660546877,13263.1150784732,0.99897175504193,17.9936195646363,4378.78002097532,0.996721280637614
"Sub-block","X139020","LargeRare_Control",217,4106,1.12980841941169,1.08301579910364,0.29685296375111,1.13032811354569,0.837191953240257,0.176970401825109
"Sub-block","X124730","LargeRare_Control",217,4106,1.29143408009592,1.1002498253689,0.240489405614644,17.7748710426584,1610.8100838488,0.991195729711638
"Sub-block","X134210","LargeRare_Control",217,4106,-16.7313268751594,8170.2935425887,0.998366073630603,-17.4573888822166,2962.21522734584,0.995297809455747
